[140562850764544] | 05:15:43 | INFO | ('NAVARRA', 'Gasolina 95 E10') | Crawling page = 1/1
[140561822492416] | 05:15:44 | INFO | ('ALICANTE', 'Gases licuados del petróleo') | Agent is Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36
[140562633766656] | 05:15:44 | INFO | ('ÁVILA', 'Gasóleo B') | 1 pages found
[140562633766656] | 05:15:44 | INFO | ('ÁVILA', 'Gasóleo B') | Crawling page = 1/1
[140561319192320] | 05:15:44 | INFO | ('BADAJOZ', 'Hidrógeno') | Combination without results
[140562658944768] | 05:15:45 | INFO | ('CÓRDOBA', 'Gasolina 95 E10') | 1 pages found
[140562658944768] | 05:15:45 | INFO | ('CÓRDOBA', 'Gasolina 95 E10') | Crawling page = 1/1
[140562901104384] | 05:15:45 | INFO | ('NAVARRA', 'Gasolina 98 E5') | 3 pages found
[140562901104384] | 05:15:45 | INFO | ('NAVARRA', 'Gasolina 98 E5') | Crawling page = 1/3
[140562859157248] | 05:15:45 | INFO | ('BIZKAIA', 'Gasolina 98 E5') | Crawling page = 3/4
[140561285621504] | 05:15:46 | INFO | ('TOLEDO', 'Gasolina 95 E5') | 10 pages found
[140561285621504] | 05:15:46 | INFO | ('TOLEDO', 'Gasolina 95 E5') | Crawling page = 1/10
[140562808817408] | 05:15:47 | INFO | ('MURCIA', 'Gasóleo B') | Crawling page = 2/5
[140561856063232] | 05:15:47 | INFO | ('CEUTA', 'Gasolina 95 E5 Premium') | 1 pages found
[140561856063232] | 05:15:47 | INFO | ('CEUTA', 'Gasolina 95 E5 Premium') | Crawling page = 1/1
[140562859157248] | 05:15:48 | INFO | ('BIZKAIA', 'Gasolina 98 E5') | Crawling page = 4/4
[140561277228800] | 05:15:48 | INFO | ('BADAJOZ', 'Gas natural licuado') | 1 pages found
[140561277228800] | 05:15:48 | INFO | ('BADAJOZ', 'Gas natural licuado') | Crawling page = 1/1
[140561839277824] | 05:15:48 | INFO | ('TERUEL', 'Gases licuados del petróleo') | 1 pages found
